Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1137       81        0    93.3%            4         60  (1218 0 81 0)
    1509        0        0   100.0%            4         61  (1509 0 0 0)
   10386     2377        4    81.4%            6         68  (12767 4 2380 3)
   49726     1325      654    97.4%           11         71  (51705 654 1890 565)
    1618        1    11284    99.9%           11        114  (12903 11284 11243 11242)
    1871        4    37451    99.8%           11        263  (39326 37451 37311 37307)
    1778        5    28509    99.7%           11        379  (30292 28509 28402 28397)
    2244       64    19225    97.2%           11        457  (21533 19225 19201 19137)
    2031        7     1067    99.7%           11        461  (3105 1067 1040 1033)
    1789        3    28497    99.8%           11        571  (30289 28497 28391 28388)
    1884        3    37943    99.8%           11        724  (39830 37943 37803 37800)
    1767        4    23979    99.8%           11        820  (25750 23979 23887 23883)
    2615        2     4996    99.9%           11        843  (7613 4996 4944 4942)
    1675        0    18161   100.0%           11        913  (19836 18161 18093 18094)
    1898        4    39846    99.8%           11       1073  (41748 39846 39696 39692)
    1717        3    20039    99.8%           11       1154  (21759 20039 19963 19960)
    2456        0    18635   100.0%           11       1228  (21091 18635 18547 18548)
    1860        5     5412    99.7%           11       1249  (7277 5412 5384 5379)
    1852        3    34941    99.8%           11       1388  (36796 34941 34809 34806)
    1847        4    34453    99.8%           11       1526  (36304 34453 34323 34319)
    1900        7    21718    99.6%           11       1614  (23625 21718 21635 21628)
    2416        0     2350   100.0%           11       1623  (4766 2350 2314 2317)
    1810        3    32840    99.8%           11       1751  (34653 32840 32718 32715)
    1866        4    33438    99.8%           11       1886  (35308 33438 33312 33308)
    1773        2    24323    99.9%           11       1986  (26098 24323 24229 24227)
    2573        0     3014   100.0%           11       2000  (5587 3014 2974 2975)
    1675        0    18473   100.0%           11       2073  (20148 18473 18403 18403)
    1946        7    43505    99.6%           11       2246  (45458 43505 43344 43337)
    1785        3    25883    99.8%           11       2351  (27671 25883 25783 25780)
    2740      417     8634    86.8%           12       2387  (11791 8634 9006 8589)
   27431     1126     7220    96.1%           15       2418  (35777 7220 8355 7229)
    5738       69    39076    98.8%           15       2572  (44883 39076 38995 38926)
    1822        4    29143    99.8%           15       2688  (30969 29143 29033 29029)
    8780       15    21852    99.8%           15       2777  (30647 21852 21794 21779)
    2573        0     3379   100.0%           15       2789  (5952 3379 3341 3343)
    1834        0    35677   100.0%           15       2929  (37511 35677 35538 35539)
    2539        6    35371    99.8%           15       3074  (37916 35371 35238 35232)
    1839        2    21006    99.9%           15       3156  (22847 21006 20924 20922)
    2317        0     6316   100.0%           15       3182  (8633 6316 6269 6273)
    1877        3    38942    99.8%           15       3336  (40822 38942 38797 38794)
    2982        4    28771    99.9%           15       3451  (31757 28771 28662 28658)
    1810        5    23921    99.7%           15       3550  (25736 23921 23830 23825)
    5139        0     3144   100.0%           15       3562  (8283 3144 3096 3097)
    1794        3    33357    99.8%           15       3693  (35154 33357 33232 33229)
    1893        4    35806    99.8%           15       3839  (37703 35806 35670 35666)
    1893        3    22586    99.8%           15       3927  (24482 22586 22497 22494)
    2443        2     3941    99.9%           15       3945  (6386 3941 3899 3897)
    3720        4    32848    99.9%           15       4073  (36572 32848 32726 32722)
    1909        7    36836    99.6%           15       4222  (38752 36836 36698 36691)
    2058        0    22470   100.0%           15       4311  (24528 22470 22375 22377)
    2355        3     7213    99.9%           15       4341  (9571 7213 7162 7159)
    1870        6    35198    99.7%           15       4479  (37074 35198 35069 35063)
    1894        4    36266    99.8%           15       4624  (38164 36266 36128 36124)
    2190        0    20590   100.0%           15       4707  (22780 20590 20499 20501)
    1848        7     6181    99.6%           15       4730  (8036 6181 6152 6145)
    1883        3    38496    99.8%           15       4881  (40382 38496 38353 38350)
    1840        4    32493    99.8%           15       5014  (34337 32493 32370 32366)
    1881        3    19174    99.8%           15       5093  (21058 19174 19099 19096)
    2416        0     2349   100.0%           15       5103  (4765 2349 2315 2318)
    1754        0    29260   100.0%           15       5216  (31014 29260 29148 29148)
    1895        6    35967    99.7%           15       5362  (37868 35967 35837 35831)
    1792        0    27364   100.0%           15       5472  (29156 27364 27254 27255)
    2565        0     2692   100.0%           15       5485  (5257 2692 2653 2657)
    1811        3    29513    99.8%           15       5600  (31327 29513 29404 29401)
    1947        5    36537    99.7%           16       5749  (38489 36537 36401 36396)
    1781        3    26222    99.8%           16       5855  (28006 26222 26121 26118)
    2606        0     2765   100.0%           16       5867  (5371 2765 2726 2729)
    1712        0    21307   100.0%           16       5949  (23019 21307 21226 21226)
    1876        2    35389    99.9%           16       6092  (37267 35389 35256 35254)
    1799        0    28781   100.0%           16       6210  (30580 28781 28668 28668)
    2659        0    11087   100.0%           16       6254  (13746 11087 11016 11024)
    1664        0    16424   100.0%           16       6318  (18088 16424 16362 16362)
    1943        7    41733    99.6%           16       6484  (43683 41733 41579 41572)
    1854        0    29009   100.0%           16       6603  (30863 29009 28893 28894)
    2621        6     8973    99.8%           16       6640  (11600 8973 8910 8904)
    1699        0    20275   100.0%           16       6717  (21974 20275 20198 20198)
    1942        7    43462    99.6%           16       6892  (45411 43462 43300 43293)
    4937     1177    14579    80.7%           16       6957  (20693 14579 15698 14521)
    2367        0    18769   100.0%           16       7030  (21136 18769 18683 18683)
    1870        2     7209    99.9%           16       7058  (9081 7209 7169 7167)
    1884        3    38278    99.8%           16       7208  (40165 38278 38134 38131)
    3718      249    30867    93.7%           16       7336  (34834 30867 30996 30747)
   -7070    13847    12786  -104.3%           17       7440  (19563 12786 26583 12736)
    2347     1370     8091    63.1%           17       7479  (11808 8091 9401 8031)
    7464     1145    21098    86.7%           19       7563  (29707 21098 22135 20990)
   36739     1294    25641    96.6%           19       7662  (63674 25641 25595 24301)
    1612     1599     6160    50.2%           19       7691  (9371 6160 7730 6131)
    5270      512    13468    91.1%           20       7747  (19250 13468 13908 13396)
    1865       60    27710    96.9%           20       7861  (29635 27710 27647 27587)
    6338       36     4246    99.4%           20       7879  (10620 4246 4137 4101)
   21832     1827     2173    92.3%           22       7892  (25832 2173 3834 2007)
   55049       80    29517    99.9%           22       8007  (84646 29517 29485 29405)
   64394    13864    25118    82.3%           22       8160  (103376 25118 38859 24995)
   18700        4    31925   100.0%           22       8261  (50629 31925 31802 31798)
    2773      100    16028    96.5%           22       8326  (18901 16028 16063 15963)
    2548        0     2353   100.0%           22       8336  (4901 2353 2317 2319)
    1818        3    32333    99.8%           22       8462  (34154 32333 32213 32210)
    1923        4    37454    99.8%           22       8613  (39381 37454 37312 37308)
    1784        0    10914   100.0%           22       8658  (12698 10914 10825 10841)
    2704        0    14121   100.0%           22       8713  (16825 14121 14043 14050)
    1601        2     7195    99.9%           22       8741  (8798 7195 7162 7160)
    1906        6    41654    99.7%           22       8905  (43566 41654 41500 41494)
    1875        4    30008    99.8%           22       9027  (31887 30008 29894 29890)
    2747        0    17721   100.0%           23       9100  (20468 17721 17631 17634)
    1592        2     7965    99.9%           23       9131  (9559 7965 7932 7930)
    1940        6    40378    99.7%           23       9290  (42324 40378 40229 40223)
    1846        4    27616    99.8%           23       9403  (29466 27616 27512 27508)
    1735        0    19308   100.0%           23       9479  (21043 19308 19231 19231)
    2593        0     4221   100.0%           23       9496  (6814 4221 4177 4188)
    1806        3    32072    99.8%           23       9621  (33881 32072 31953 31950)
    1900        7    38970    99.6%           23       9777  (40877 38970 38825 38818)
    1816        1    23321    99.9%           23       9869  (25138 23321 23229 23228)
    2588        0     4446   100.0%           23       9888  (7034 4446 4399 4402)
    1823        3    35676    99.8%           23      10027  (37502 35676 35542 35539)
    1813        1    27800    99.9%           23      10142  (29614 27800 27693 27692)
    1794        0    27055   100.0%           23      10250  (28849 27055 26947 26947)
    2593        0     1670   100.0%           23      10258  (4263 1670 1636 1637)
    1739        3    24124    99.8%           23      10351  (25866 24124 24036 24033)
    1901        1    37836    99.9%           23      10502  (39738 37836 37699 37698)
    1797        3    25488    99.8%           23      10606  (27288 25488 25389 25386)
    2655        0     8896   100.0%           23      10644  (11551 8896 8827 8831)
    1658        3    15147    99.8%           23      10702  (16808 15147 15093 15090)
    1950        3    43448    99.8%           23      10875  (45401 43448 43283 43280)
    1806        3    28598    99.8%           23      10998  (30407 28598 28488 28485)
    2629        2     7890    99.9%           23      11030  (10521 7890 7834 7832)
    1723        0    17774   100.0%           23      11098  (19497 17774 17711 17711)
    1951        4    40633    99.8%           23      11262  (42588 40633 40484 40480)
    1868        2    22347    99.9%           23      11354  (24217 22347 22258 22256)
    1703        3    15629    99.8%           23      11416  (17335 15629 15569 15566)
    2448        0     5431   100.0%           23      11437  (7879 5431 5382 5386)
    1898        2    39087    99.9%           23      11591  (40987 39087 38940 38938)
    1832        3    30233    99.8%           23      11715  (32068 30233 30118 30115)
    1899        4    21356    99.8%           23      11803  (23259 21356 21267 21263)
    2449        0     5680   100.0%           23      11825  (8129 5680 5637 5639)
    1893        3    36775    99.8%           23      11969  (38671 36775 36636 36633)
    1862        4    33512    99.8%           23      12105  (35378 33512 33386 33382)
    1768        3    20591    99.8%           23      12190  (22362 20591 20506 20503)
    1602        3     7712    99.8%           23      12219  (9317 7712 7676 7673)
    1926        4    39594    99.8%           23      12376  (41524 39594 39446 39442)
    1848        3    29858    99.8%           23      12497  (31709 29858 29744 29741)
    2622        0    19189   100.0%           23      12576  (21811 19189 19093 19095)
    1744        4     8996    99.8%           23      12611  (10744 8996 8956 8952)
    1909        3    41913    99.8%           23      12776  (43825 41913 41754 41751)
    1858        4    30773    99.8%           23      12903  (32635 30773 30656 30652)
    1962        2    13751    99.9%           23      12960  (15715 13751 13693 13691)
    2315        0     4443   100.0%           23      12977  (6758 4443 4404 4405)
    1856        6    34437    99.7%           23      13113  (36299 34437 34310 34304)
    1860        4    31146    99.8%           23      13239  (33010 31146 31029 31025)
    2557       40    25303    98.5%           23      13341  (27900 25303 25247 25207)
    2566        0     1378   100.0%           23      13349  (3944 1378 1341 1343)
    1724        3    21292    99.8%           23      13430  (23019 21292 21214 21211)
    1928        4    41161    99.8%           23      13596  (43093 41161 41006 41002)
    1805        3    26787    99.8%           23      13702  (28595 26787 26684 26681)
    2622        0     7371   100.0%           23      13734  (9993 7371 7310 7311)
    1737        3    21810    99.8%           23      13819  (23550 21810 21730 21727)
    1915        4    40639    99.8%           23      13980  (42558 40639 40486 40482)
    1700        0    18952   100.0%           23      14057  (20652 18952 18877 18877)
    2700        0    15383   100.0%           23      14120  (18083 15383 15300 15305)
    1574        1     3347    99.9%           23      14133  (4922 3347 3326 3325)
    1760        3    26436    99.8%           23      14236  (28199 26436 26339 26336)
    2122       10    31934    99.5%           23      14362  (34066 31934 31798 31788)
    1902        4    37575    99.8%           23      14515  (39481 37575 37433 37429)
    1780        4    23857    99.8%           23      14615  (25641 23857 23766 23762)
    3173        0     2177   100.0%           24      14625  (5350 2177 2141 2143)
    1841        1    32731    99.9%           24      14750  (34573 32731 32611 32610)
    1929        4    38224    99.8%           24      14907  (40157 38224 38079 38075)
    1795        7    23346    99.6%           24      15001  (25148 23346 23260 23253)
    2592        0     1401   100.0%           24      15007  (3993 1401 1371 1373)
    1800        3    27282    99.8%           24      15112  (29085 27282 27182 27179)
    1931        4    39882    99.8%           24      15273  (41817 39882 39732 39728)
    1791        2    25216    99.9%           24      15373  (27009 25216 25118 25116)
    2618        0     4564   100.0%           24      15393  (7182 4564 4518 4519)
    1777        3    26692    99.8%           24      15498  (28472 26692 26593 26590)
    1870        4    37637    99.8%           24      15648  (39511 37637 37496 37492)
    1752        3    19214    99.8%           24      15726  (20969 19214 19141 19138)
    2684        0    12979   100.0%           24      15778  (15663 12979 12905 12920)
    1520        2       15    99.9%           24      15778  (1537 15 6 4)
    1658        2    14885    99.9%           24      15836  (16545 14885 14830 14828)
    1938        2    41875    99.9%           24      16002  (43815 41875 41716 41714)
    1606        1    10087    99.9%           24      16046  (11694 10087 10048 10047)
    1546        0        0   100.0%           24      16046  (1546 0 0 0)
    1659        3    15577    99.8%           24      16106  (17239 15577 15518 15515)
    2715       32    14028    98.8%           24      16164  (16775 14028 13984 13952)
    1594        2     6931    99.9%           24      16191  (8527 6931 6906 6904)
    1918        6    40590    99.7%           24      16350  (42514 40590 40440 40434)
    1816        4    30368    99.8%           24      16474  (32188 30368 30253 30249)
    1711        0    17025   100.0%           24      16541  (18736 17025 16952 16953)
    5036       75     2712    98.5%           24      16554  (7823 2712 2794 2719)
    1778        3    26431    99.8%           24      16657  (28212 26431 26333 26330)
    1919        4    41917    99.8%           24      16825  (43840 41917 41759 41755)
    1759        4    22971    99.8%           24      16917  (24734 22971 22883 22879)
    2666        0     6307   100.0%           24      16944  (8973 6307 6246 6246)
    1801        0    31817   100.0%           24      17069  (33618 31817 31695 31695)
    1896        7    35322    99.6%           24      17211  (37225 35322 35188 35181)
    1812        0    27264   100.0%           24      17322  (29076 27264 27155 27155)
    3315        1     3637   100.0%           24      17336  (6953 3637 3599 3598)
    1846        2    36787    99.9%           24      17481  (38635 36787 36650 36648)
    1813        4    28385    99.8%           24      17597  (30202 28385 28279 28275)
    1733        0    20575   100.0%           24      17678  (22308 20575 20493 20493)
    2644        4     7268    99.8%           24      17709  (9916 7268 7211 7207)
    1776        0    24640   100.0%           24      17804  (26416 24640 24546 24546)
    1934        4    39421    99.8%           24      17963  (41359 39421 39273 39269)
    1805        0    26416   100.0%           24      18070  (28221 26416 26311 26311)
    2629        2     5848    99.9%           24      18095  (8479 5848 5799 5797)
    1768        0    25919   100.0%           24      18197  (27687 25919 25820 25820)
    1919        7    40963    99.6%           24      18360  (42889 40963 40812 40805)
    1746        0    19982   100.0%           24      18440  (21728 19982 19903 19903)
    2669        1    10292   100.0%           24      18482  (12962 10292 10222 10221)
    1712        0    18730   100.0%           24      18554  (20442 18730 18661 18661)
    1949        3    41728    99.8%           24      18721  (43680 41728 41570 41567)
    1824        3    27987    99.8%           24      18833  (29814 27987 27879 27876)
    2653        0     8677   100.0%           24      18869  (11330 8677 8616 8625)
    1649        0    12830   100.0%           24      18919  (14479 12830 12782 12782)
    1949        3    42101    99.8%           24      19085  (44053 42101 41942 41939)
    1780        4    24840    99.8%           24      19185  (26624 24840 24746 24742)
    2745        1    16598   100.0%           24      19254  (19344 16598 16506 16505)
