Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1590        0    10012   100.0%          174      34202  (11602 10012 9975 9975)
    1904        5    40830    99.7%          174      34364  (42739 40830 40678 40673)
    1647        2    12392    99.9%          174      34416  (14041 12392 12345 12343)
    1743        7    25485    99.6%          174      34521  (27235 25485 25391 25384)
    1725        2     6010    99.9%          174      34549  (7737 6010 5982 5980)
    1610        3     7969    99.8%          174      34580  (9582 7969 7932 7929)
    1846        6    37765    99.7%          174      34728  (39617 37765 37626 37620)
    1759        6    26780    99.7%          174      34836  (28545 26780 26681 26675)
    1671        5    16204    99.7%          174      34903  (17880 16204 16145 16140)
    1703        1     7371    99.9%          174      34935  (9075 7371 7341 7340)
    2551        0     3130   100.0%          174      34947  (5681 3130 3084 3093)
    1808        3    34902    99.8%          174      35084  (36713 34902 34771 34768)
    1773        7    26826    99.6%          174      35193  (28606 26826 26730 26723)
    1725        5    21004    99.7%          174      35278  (22734 21004 20926 20921)
    3040        0    10806   100.0%          174      35322  (13846 10806 10729 10734)
    1573        0     7444   100.0%          174      35351  (9017 7444 7416 7416)
    1890        8    38325    99.6%          174      35501  (40223 38325 38186 38178)
    1716        3    18931    99.8%          174      35576  (20650 18931 18861 18858)
    1687        4    21718    99.8%          174      35663  (23409 21718 21636 21632)
    1648        2    11782    99.9%          174      35708  (13432 11782 11736 11734)
    2553        0     2871   100.0%          174      35718  (5424 2871 2829 2831)
    1826        3    35422    99.8%          174      35859  (37251 35422 35289 35286)
    1769        6    28395    99.7%          174      35976  (30170 28395 28290 28284)
    1659        5    13875    99.7%          174      36031  (15539 13875 13825 13820)
    1640        2    14783    99.9%          174      36087  (16425 14783 14726 14724)
    2539        0     1548   100.0%          174      36095  (4087 1548 1514 1516)
    1710        3    23357    99.8%          174      36185  (25070 23357 23271 23268)
    1843        5    33638    99.7%          174      36319  (35486 33638 33514 33509)
    1657        5    18039    99.7%          174      36393  (19701 18039 17973 17968)
    1738        2    19766    99.9%          174      36475  (21506 19766 19688 19686)
    2555        0     1400   100.0%          174      36482  (3955 1400 1366 1377)
    1727        4    26684    99.8%          174      36585  (28415 26684 26586 26582)
    1819        6    31057    99.7%          174      36710  (32882 31057 30945 30939)
    1739        5    23247    99.7%          174      36806  (24991 23247 23160 23155)
    1675        3    15673    99.8%          174      36868  (17351 15673 15613 15610)
    2529        0       92   100.0%          174      36868  (2621 92 59 61)
    1731        2    23903    99.9%          174      36958  (25636 23903 23817 23815)
    1787        4    31089    99.8%          174      37087  (32880 31089 30974 30970)
    1693        7    18817    99.6%          174      37161  (20517 18817 18749 18742)
    1743        3    21424    99.8%          174      37247  (23170 21424 21341 21338)
    2546        0     1885   100.0%          174      37256  (4431 1885 1847 1851)
    1743        4    25921    99.8%          174      37358  (27668 25921 25826 25822)
    1788        8    29036    99.6%          174      37474  (30832 29036 28933 28925)
    1700        5    22621    99.7%          175      37566  (24326 22621 22537 22532)
    1703        3    17567    99.8%          175      37635  (19273 17567 17499 17496)
    2569        0     2146   100.0%          175      37644  (4715 2146 2105 2105)
    1793        0    28486   100.0%          175      37755  (30279 28486 28378 28378)
    1853        6    32414    99.7%          175      37889  (34273 32414 32294 32288)
    1696        5    17574    99.7%          175      37957  (19275 17574 17510 17505)
    1732        6    16398    99.7%          175      38025  (18136 16398 16337 16331)
    2522        0     1325   100.0%          175      38030  (3847 1325 1294 1295)
    1780        4    31054    99.8%          175      38152  (32838 31054 30940 30936)
    1811        4    28119    99.8%          175      38266  (29934 28119 28014 28010)
    1776        7    22090    99.6%          175      38358  (23873 22090 22010 22003)
    1658        4    13457    99.8%          175      38412  (15119 13457 13406 13402)
    2559        0     3384   100.0%          175      38424  (5943 3384 3340 3346)
    1780        3    31822    99.8%          175      38549  (33605 31822 31703 31700)
    1848        6    29154    99.7%          175      38668  (31008 29154 29050 29044)
    1727        2    18634    99.9%          175      38742  (20363 18634 18562 18560)
    1700        5    13828    99.7%          175      38798  (15533 13828 13777 13772)
    2578        0     3892   100.0%          175      38813  (6470 3892 3851 3852)
    1852        3    35927    99.8%          175      38955  (37782 35927 35792 35789)
    1800        7    30376    99.6%          175      39079  (32183 30376 30264 30257)
    1705        6    20431    99.6%          175      39160  (22142 20431 20356 20350)
    1721        0     5944   100.0%          175      39185  (7665 5944 5915 5918)
    2425        0     5359   100.0%          175      39204  (7784 5359 5320 5327)
    1868        6    38990    99.7%          175      39359  (40864 38990 38847 38841)
    1724        5    25361    99.7%          175      39461  (27090 25361 25267 25262)
    1590        1     9178    99.9%          175      39497  (10769 9178 9143 9142)
    1666        6    13495    99.6%          175      39554  (15167 13495 13447 13441)
    2565        0     3973   100.0%          175      39571  (6538 3973 3925 3929)
    1622        0    13348   100.0%          175      39622  (14970 13348 13298 13298)
    1900        5    38574    99.7%          175      39776  (40479 38574 38431 38426)
    1652        5    14964    99.7%          175      39836  (16621 14964 14910 14905)
    1720        7    21448    99.6%          175      39923  (23175 21448 21370 21363)
    1580        0     8070   100.0%          175      39958  (9650 8070 8037 8037)
    2581        0     7228   100.0%          175      39985  (9809 7228 7172 7175)
    1893        6    40330    99.7%          175      40145  (42229 40330 40181 40175)
    1726        4    21973    99.8%          175      40235  (23703 21973 21892 21888)
    1680        6    19680    99.6%          175      40311  (21366 19680 19608 19602)
    2627        0     7631   100.0%          175      40344  (10258 7631 7570 7571)
    1609        0    10264   100.0%          175      40383  (11873 10264 10226 10226)
    1883        6    40849    99.7%          175      40545  (42738 40849 40697 40691)
    1698        4    19972    99.8%          175      40628  (21674 19972 19898 19894)
    1882        8    21790    99.6%          175      40715  (23680 21790 21707 21699)
    2474        0     3218   100.0%          175      40729  (5692 3218 3180 3182)
    1683        3    21254    99.8%          175      40810  (22940 21254 21179 21176)
    1858        6    37054    99.7%          175      40957  (38918 37054 36916 36910)
    1659        1    15693    99.9%          175      41022  (17353 15693 15632 15631)
    1716        7    18069    99.6%          175      41097  (19792 18069 18004 17997)
    2581        0     4569   100.0%          175      41115  (7150 4569 4519 4522)
    1665        6    18223    99.6%          175      41185  (19894 18223 18160 18154)
    1844        5    33961    99.7%          175      41323  (35810 33961 33836 33831)
    1711        3    18500    99.8%          175      41397  (20214 18500 18430 18427)
    1681        6    17099    99.6%          175      41465  (18786 17099 17037 17031)
    1591        1     9534    99.9%          175      41502  (11126 9534 9496 9495)
    1569        3     6173    99.8%          175      41525  (7745 6173 6143 6140)
    1795        3    31828    99.8%          175      41652  (33626 31828 31710 31707)
    1745        8    26514    99.5%          175      41755  (28267 26514 26419 26411)
    1699        6    20752    99.6%          176      41839  (22457 20752 20676 20670)
    2669        0    11657   100.0%          176      41889  (14326 11657 11577 11591)
    1592        3     9240    99.8%          176      41924  (10835 9240 9208 9205)
    1863        5    39478    99.7%          176      42081  (41346 39478 39332 39327)
    1694        2    17154    99.9%          176      42148  (18850 17154 17089 17087)
    1653        4    16960    99.8%          176      42214  (18617 16960 16897 16893)
    1678        3    15516    99.8%          176      42275  (17197 15516 15456 15453)
    2529        0     2096   100.0%          176      42283  (4625 2096 2061 2062)
    1788        1    30613    99.9%          176      42403  (32402 30613 30501 30500)
    1852        7    33475    99.6%          176      42540  (35334 33475 33352 33345)
    1729        6    20963    99.7%          176      42625  (22698 20963 20886 20880)
    1749        0     9546   100.0%          176      42662  (11295 9546 9502 9503)
    1595        7     7715    99.6%          176      42692  (9317 7715 7683 7676)
    2647        5    40369    99.8%          176      42851  (43021 40369 40219 40214)
    1671        2    17020    99.9%          176      42920  (18693 17020 16956 16954)
    1762        7    24129    99.6%          176      43013  (25898 24129 24041 24034)
    1597        0     8010   100.0%          176      43049  (9607 8010 7976 7976)
    1585       11     5930    99.3%          176      43070  (7526 5930 5899 5888)
    1848        5    34941    99.7%          176      43207  (36794 34941 34811 34806)
    1718        2    21597    99.9%          176      43295  (23317 21597 21516 21514)
    1701        4    20106    99.8%          176      43374  (21811 20106 20030 20026)
    2738        0    14286   100.0%          176      43434  (17024 14286 14214 14214)
    1593        3     8221    99.8%          176      43465  (9817 8221 8188 8185)
    1882        6    40596    99.7%          176      43626  (42484 40596 40447 40441)
    1669        5    15950    99.7%          176      43690  (17624 15950 15893 15888)
    1716        3    20869    99.8%          176      43773  (22588 20869 20789 20786)
    2687        0    11464   100.0%          176      43820  (14151 11464 11396 11396)
    2326        0     7465   100.0%          176      43849  (9791 7465 7439 7439)
    1850        5    36094    99.7%          176      43991  (37949 36094 35961 35956)
    1706        5    16861    99.7%          176      44057  (18572 16861 16800 16795)
    1731        3    26011    99.8%          176      44161  (27745 26011 25911 25908)
    2661        0    11037   100.0%          176      44206  (13698 11037 10974 10974)
    1561        2     6675    99.9%          176      44232  (8238 6675 6651 6649)
    1862        5    38575    99.7%          176      44383  (40442 38575 38432 38427)
    1710        6    20212    99.7%          176      44464  (21928 20212 20140 20134)
    1717        2    19804    99.9%          176      44541  (21523 19804 19727 19725)
    2673        0    12258   100.0%          176      44593  (14931 12258 12183 12191)
    1606        0    11980   100.0%          176      44638  (13586 11980 11938 11939)
    1826        2    34456    99.9%          176      44775  (36284 34456 34327 34325)
    1725        5    21294    99.7%          176      44863  (23024 21294 21217 21212)
    1685        4    17074    99.8%          176      44931  (18763 17074 17011 17007)
    1686        7    12064    99.6%          176      44979  (13757 12064 12021 12014)
    2565        0     4921   100.0%          176      44998  (7486 4921 4874 4876)
    1843        4    35237    99.8%          176      45137  (37084 35237 35105 35101)
    1765        6    26714    99.7%          176      45247  (28485 26714 26617 26611)
    1699        2    17416    99.9%          176      45316  (19117 17416 17349 17347)
    2688        0    11832   100.0%          176      45366  (14520 11832 11756 11757)
    1580        1     8182    99.9%          176      45396  (9763 8182 8155 8154)
    1918        4    41548    99.8%          176      45562  (43470 41548 41395 41391)
    1658        5    15215    99.7%          176      45625  (16878 15215 15160 15155)
    1730        6    21971    99.7%          176      45710  (23707 21971 21890 21884)
    5393        0    10336   100.0%          176      45752  (15729 10336 10257 10306)
    1581        0     8727   100.0%          176      45786  (10308 8727 8694 8694)
