Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1519       18        0    98.8%           18        217  (1537 0 18 0)
   69997       19      118   100.0%           18        217  (70134 118 72 53)
    1576       12     4127    99.2%           18        233  (5715 4127 4106 4094)
    1711        0    22256   100.0%           18        322  (23967 22256 22175 22177)
    1842        4    35485    99.8%           18        464  (37331 35485 35351 35347)
    1730        5    23558    99.7%           18        555  (25293 23558 23471 23466)
    2653      116    11565    95.8%           18        604  (14334 11565 11593 11477)
    1565        0     5653   100.0%           18        624  (7218 5653 5627 5633)
    1836        5    35197    99.7%           18        765  (37038 35197 35066 35061)
    2093        9    31143    99.6%           18        889  (33245 31143 31021 31012)
    1796        4    24879    99.8%           18        989  (26679 24879 24784 24780)
    2263        0     4144   100.0%           18       1003  (6407 4144 4107 4107)
    1807        3    31054    99.8%           18       1128  (32864 31054 30939 30936)
    1798        4    29547    99.8%           18       1247  (31349 29547 29437 29433)
    1772        3    25520    99.8%           18       1351  (27295 25520 25421 25418)
    2624        0     5756   100.0%           18       1375  (8380 5756 5708 5708)
    1683        0    19764   100.0%           18       1451  (21447 19764 19690 19690)
    1906        7    41389    99.6%           18       1617  (43302 41389 41235 41228)
    1767        3    26233    99.8%           18       1723  (28003 26233 26132 26129)
    2626        3     9164    99.9%           18       1760  (11793 9164 9099 9096)
    1677        0    18987   100.0%           18       1834  (20664 18987 18916 18916)
    1928        7    42743    99.6%           18       2002  (44678 42743 42584 42577)
    1759        3    25999    99.8%           18       2109  (27761 25999 25899 25896)
    2681        0     9572   100.0%           18       2147  (12253 9572 9502 9503)
    1561        0     6672   100.0%           18       2172  (8233 6672 6647 6647)
    1849        3    35482    99.8%           18       2310  (37334 35482 35348 35345)
    2605        3    32678    99.9%           19       2442  (35286 32678 32559 32556)
    1846        4    18955    99.8%           19       2519  (20805 18955 18881 18877)
    2419        0     3450   100.0%           19       2533  (5869 3450 3410 3412)
    1651        0    14367   100.0%           19       2589  (16018 14367 14313 14313)
    1844       10    34278    99.5%           19       2726  (36132 34278 34154 34144)
    1732        0    24194   100.0%           19       2825  (25926 24194 24100 24100)
    2046        3    21522    99.9%           19       2913  (23571 21522 21436 21433)
    2291        3     4735    99.9%           19       2932  (7029 4735 4694 4691)
    1829        1    34345    99.9%           19       3068  (36175 34345 34216 34215)
    1888        4    33319    99.8%           19       3203  (35211 33319 33193 33189)
    1743        3    25112    99.8%           19       3302  (26858 25112 25015 25012)
    2528        0      925   100.0%           19       3306  (3453 925 894 905)
    1716        3    24445    99.8%           19       3401  (26164 24445 24356 24353)
