Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1101       22        0    98.0%            2         61  (1123 0 22 0)
    1560        0        5   100.0%            2         61  (1565 5 2 5)
    6603     3515       13    65.3%            2         73  (10131 13 3523 8)
    2066    17243        0    10.7%            2        143  (19309 0 17243 0)
    2198    24782        0     8.1%            2        242  (26980 0 24782 0)
    2368    23303        0     9.2%            2        337  (25671 0 23303 0)
    1690    24525       16     6.4%            2        434  (26231 16 24541 16)
    2184    24995        0     8.0%            2        534  (27179 0 24995 0)
    3138    19357       74    13.9%            2        613  (22569 74 19393 36)
    1478      859        0    63.2%            2        617  (2337 0 859 0)
    1497     1165        0    56.2%            2        622  (2662 0 1165 0)
    1476     1159        0    56.0%            2        626  (2635 0 1159 0)
    1398     1295        0    51.9%            2        632  (2693 0 1295 0)
    1309     1397        0    48.4%            2        637  (2706 0 1397 0)
    1343     1321        0    50.4%            2        642  (2664 0 1321 0)
    1366     1343        0    50.4%            2        650  (2709 0 1343 0)
    1396     1362        2    50.6%            2        655  (2760 2 1362 0)
    1372     1277        0    51.8%            2        660  (2649 0 1277 0)
    1318     1391        0    48.7%            2        666  (2709 0 1391 0)
    2097     1338        0    61.0%            2        671  (3435 0 1338 0)
    1388     1397        0    49.8%            2        683  (2785 0 1397 0)
    1271     1532        0    45.3%            2        689  (2803 0 1532 0)
    1370     1144        0    54.5%            2        694  (2514 0 1144 0)
    1443     1304        0    52.5%            2        699  (2747 0 1304 0)
    1358     1387        0    49.5%            2        704  (2745 0 1387 0)
    1228     1508        0    44.9%            2        713  (2736 0 1508 0)
    1317     1423        0    48.1%            2        718  (2740 0 1423 0)
    1376     1309        0    51.2%            2        724  (2685 0 1309 0)
    1366     1377        0    49.8%            2        730  (2743 0 1377 0)
    1188     1470        0    44.7%            2        735  (2658 0 1470 0)
    1289     1427        0    47.5%            2        741  (2716 0 1427 0)
    1289     1446        0    47.1%            2        747  (2735 0 1446 0)
