Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   	BUFFERS	CACHE  DEBUG
    1356       21        0    98.5%          863       4855  1377 0 21 0 1356
    1484      379        0    79.7%         1075       5148  1863 0 379 0 1484
    -108     5395        1    -2.0%         1402      10278  5288 1 5396 1 -108
    1360     2760        0    33.0%         1402      14062  4120 0 2760 0 1360
    1379     5399       18    20.3%         1404      19451  6796 18 5408 9 1388
    2597    10680        0    19.6%         1404      30816  13277 0 10680 0 2597
    1296    13560        0     8.7%         1404      44643  14856 0 13560 0 1296
    1323     8770        0    13.1%         1404      54174  10093 0 8770 0 1323
    1804     8760        0    17.1%         1404      63989  10564 0 8760 0 1804
    1855    11462        1    13.9%         1406      76177  13318 1 11462 0 1856
    1829    10500        0    14.8%         1406      86800  12329 0 10500 0 1829
    1835    13800        0    11.7%         1406     101717  15635 0 13800 0 1835
    1311    14640        0     8.2%         1406     117576  15951 0 14640 0 1311
    1839    13620        0    11.9%         1406     132432  15459 0 13620 0 1839
    1798    13440        0    11.8%         1406     146780  15238 0 13440 0 1798
    1294    13200        1     8.9%         1408     160127  14495 1 13200 0 1295
    1334     9480        0    12.3%         1408     170504  10814 0 9480 0 1334
    1323    10920        0    10.8%         1408     181528  12243 0 10920 0 1323
    1325    13140        0     9.2%         1408     195543  14465 0 13140 0 1325
    1296    12240        0     9.6%         1408     208579  13536 0 12240 0 1296
    1825    12600        0    12.7%         1408     221926  14425 0 12600 0 1825
    1386    10140        1    12.0%         1410     232829  11527 1 10140 0 1387
    1373    14100        0     8.9%         1410     247796  15473 0 14100 0 1373
    1817    13380        0    12.0%         1410     262077  15197 0 13380 0 1817
    1853    10800        0    14.6%         1410     273425  12653 0 10800 0 1853
    1804    14760        0    10.9%         1410     288958  16564 0 14760 0 1804
    1800    14760        0    10.9%         1410     304436  16560 0 14760 0 1800
    1350    11939        1    10.2%         1412     317218  13290 1 11940 1 1350
    1335     9900        0    11.9%         1412     327341  11235 0 9900 0 1335
    1926    11111        0    14.8%         1412     338830  13037 0 11111 0 1926
    1332        0        0   100.0%         1412     338867  1332 0 0 0 1332
    1807        0        0   100.0%         1412     338867  1807 0 0 0 1807
    1811        0        0   100.0%         1412     338867  1811 0 0 0 1811
    1306        0        0   100.0%         1414     338867  1306 0 0 0 1306
    1316        0        0   100.0%         1414     338867  1316 0 0 0 1316
    1822        0        0   100.0%         1414     338867  1822 0 0 0 1822
    1333        0        0   100.0%         1414     338867  1333 0 0 0 1333
    1812        0        0   100.0%         1414     338867  1812 0 0 0 1812
    1828        2        0    99.9%         1416     338866  1830 0 2 0 1828
    1796        0        0   100.0%         1416     338867  1796 0 0 0 1796
    2394       60        0    97.6%         1446     338897  2454 0 60 0 2394
    1343        0        0   100.0%         1446     338897  1343 0 0 0 1343
    1332        0        0   100.0%         1446     338897  1332 0 0 0 1332
    1811        0        0   100.0%         1446     338897  1811 0 0 0 1811
    1300        0        1   100.0%         1448     338897  1301 1 0 0 1301
    1805        0        0   100.0%         1448     338897  1805 0 0 0 1805
    1327        0        0   100.0%         1448     338897  1327 0 0 0 1327
    1822        0        0   100.0%         1448     338897  1822 0 0 0 1822
    1822        0        0   100.0%         1448     338897  1822 0 0 0 1822
    1844        0        0   100.0%         1448     338897  1844 0 0 0 1844
    1346        0        3   100.0%         1450     338898  1349 3 0 2 1349
    1330        0        0   100.0%         1450     338898  1330 0 0 0 1330
    1333        0        0   100.0%         1450     338898  1333 0 0 0 1333
    1301        0        0   100.0%         1450     338898  1301 0 0 0 1301
    1828        0        0   100.0%         1450     338898  1828 0 0 0 1828
    1316        1        1    99.9%         1452     338897  1318 1 2 1 1316
    1349        0        0   100.0%         1452     338898  1349 0 0 0 1349
    1796        0        0   100.0%         1452     338898  1796 0 0 0 1796
