Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1302       24        0    98.2%          344       4095  1326 0 24 0 1302
    1915        2        0    99.9%          346       4297  1917 0 2 0 1915
    1207      480        7    71.5%          346       4786  1694 7 487 7 1207
    1366        0        0   100.0%          346       4786  1366 0 0 0 1366
    1930       46        0    97.7%          362       4789  1976 0 46 0 1930
    1876        0        0   100.0%          362       4816  1876 0 0 0 1876
    1330        0        0   100.0%          362       4816  1330 0 0 0 1330
    1899        0        1   100.0%          364       4816  1900 1 0 1 1900
    1347        0        0   100.0%          364       4816  1347 0 0 0 1347
    1330        0        0   100.0%          364       4816  1330 0 0 0 1330
    2504        4        2    99.8%          364       4816  2510 2 5 1 2505
    1850        0        0   100.0%          364       4820  1850 0 0 0 1850
    1891      599        8    75.9%          366       5278  2498 8 605 6 1893
    1882        0        0   100.0%          366       5324  1882 0 0 0 1882
    1881        0        0   100.0%          366       5324  1881 0 0 0 1881
    1350        0        0   100.0%          366       5324  1350 0 0 0 1350
    1347        0        0   100.0%          366       5324  1347 0 0 0 1347
    1326        0        0   100.0%          366       5324  1326 0 0 0 1326
    1875        0        1   100.0%          368       5324  1876 1 0 0 1876
    1892        0        0   100.0%          368       5324  1892 0 0 0 1892
    1366        0        0   100.0%          368       5324  1366 0 0 0 1366
    1876        0        0   100.0%          368       5324  1876 0 0 0 1876
    1879        0        0   100.0%          368       5324  1879 0 0 0 1879
    1879        0        0   100.0%          368       5324  1879 0 0 0 1879
    1875        0        1   100.0%          370       5324  1876 1 0 0 1876
    1850        0        0   100.0%          370       5324  1850 0 0 0 1850
    1850        0        0   100.0%          370       5324  1850 0 0 0 1850
    1873        0        0   100.0%          370       5324  1873 0 0 0 1873
    1887        0        0   100.0%          370       5324  1887 0 0 0 1887
    1882        2        1    99.9%          372       5324  1885 1 2 0 1883
    1350        0        0   100.0%          372       5324  1350 0 0 0 1350
    1876        0        0   100.0%          372       5324  1876 0 0 0 1876
    1873        0        0   100.0%          372       5324  1873 0 0 0 1873
    1865        0        0   100.0%          372       5324  1865 0 0 0 1865
    1896        0        0   100.0%          372       5324  1896 0 0 0 1896
    1876        0        0   100.0%          374       5324  1876 0 0 0 1876
    1864        0        0   100.0%          374       5324  1864 0 0 0 1864
    1898        0        0   100.0%          374       5324  1898 0 0 0 1898
    1859        0        0   100.0%          374       5324  1859 0 0 0 1859
    1876        0        0   100.0%          374       5324  1876 0 0 0 1876
    1864        0        0   100.0%          374       5324  1864 0 0 0 1864
    1875        0        1   100.0%          376       5324  1876 1 0 0 1876
    1876        0        0   100.0%          376       5324  1876 0 0 0 1876
    1859        0        0   100.0%          376       5324  1859 0 0 0 1859
    1877        0        0   100.0%          376       5324  1877 0 0 0 1877
    1347        0        0   100.0%          376       5324  1347 0 0 0 1347
    1876        0        0   100.0%          376       5324  1876 0 0 0 1876
    1870        0        1   100.0%          378       5324  1871 1 0 0 1871
    1876        0        0   100.0%          378       5324  1876 0 0 0 1876
    1898        0        0   100.0%          378       5324  1898 0 0 0 1898
    1892        0        0   100.0%          378       5324  1892 0 0 0 1892
    1895        0        0   100.0%          378       5324  1895 0 0 0 1895
    1864        0        0   100.0%          378       5325  1864 0 0 0 1864
    1879        0        3   100.0%          380       5325  1882 3 0 2 1882
    1881        0        0   100.0%          380       5325  1881 0 0 0 1881
    1876        0        0   100.0%          380       5325  1876 0 0 0 1876
    1867        0        0   100.0%          380       5325  1867 0 0 0 1867
    1850        0        0   100.0%          380       5325  1850 0 0 0 1850
    1898        2        0    99.9%          382       5323  1900 0 2 0 1898
    1865        0        0   100.0%          382       9184  1865 0 3932 3932 -2067
    4892        0        0   100.0%          382      25478  4892 0 13633 13635 -8741
    4390        0        0   100.0%          382      38050  4390 0 10024 10025 -5634
    5957        0        0   100.0%          382      54402  5957 0 16384 16386 -10427
    5962        0        0   100.0%          382      70786  5962 0 16384 16386 -10422
    6784        7        1    99.9%          384      87297  6792 1 16393 16386 -9601
    5973        0        0   100.0%          384     103563  5973 0 16384 16386 -10411
    5975        0        0   100.0%          384     119928  5975 0 16384 16386 -10409
    5993        0        0   100.0%          384     136441  5993 0 16384 16386 -10391
    5996        0        0   100.0%          384     152806  5996 0 16384 16386 -10388
    5951        0        0   100.0%          384     169190  5951 0 16384 16386 -10433
    5970        0        1   100.0%          386     185398  5971 1 16384 16387 -10413
    5948        0        0   100.0%          386     201882  5948 0 16384 16386 -10436
    5115        0        0   100.0%          386     216943  5115 0 15056 15058 -9941
    5747        0        0   100.0%          386     233653  5747 0 15460 15462 -9713
    5012        0        0   100.0%          386     249370  5012 0 14652 14654 -9640
    5848        0        0   100.0%          386     266820  5848 0 15881 15883 -10033
    5520        0        1   100.0%          388     282067  5521 1 14644 14646 -9123
    4802        0        0   100.0%          388     295407  4802 0 11696 11698 -6894
    4719        0        0   100.0%          388     312860  4719 0 13468 13470 -8749
    3924        0        0   100.0%          388     324754  3924 0 8268 8269 -4344
    4850        0        0   100.0%          388     341208  4850 0 14048 14050 -9198
    4942        0        0   100.0%          388     357592  4942 0 12256 12257 -7314
    5520        0        1   100.0%          390     375784  5521 1 16684 16686 -11163
    5248        0        0   100.0%          390     392077  5248 0 13480 13482 -8232
    4220        0        0   100.0%          390     406668  4220 0 11496 11497 -7276
    5371        0        0   100.0%          390     425171  5371 0 16084 16086 -10713
    5096        0        0   100.0%          390     443151  5096 0 14984 14986 -9888
    5216        0        0   100.0%          390     459247  5216 0 13352 13354 -8136
    6131        0        1   100.0%          392     479179  6132 1 16952 16954 -10820
    5953        0        0   100.0%          392     496814  5953 0 16384 16386 -10431
    5974        0        0   100.0%          392     513240  5974 0 16384 16386 -10410
    5971        0        0   100.0%          392     529625  5971 0 16385 16387 -10414
    5990        0        0   100.0%          392     546009  5990 0 16384 16386 -10394
    6008        0        0   100.0%          392     562393  6008 0 16428 16431 -10420
    4587        0        1   100.0%          394     579429  4588 1 13008 13010 -8420
